labelcode,cutword
119,騎樓 商店 前 人行道 作為 營業 地點
147,當初 施做 污水下水道 用戶 接管 時 未將 地下室 原有 化糞池 廢除 處理
85,地價稅 開徵
61,公文 正本 行文 副本 下 行文 時 公文 應 蓋印 簽署
21,檢舉 日租 套房 是否 提供 地址
130,垃圾 焚化 處理 技術 北投 焚化 廠 廢氣 處理 設備 為何
3,申請 弱勢 家庭 兒童 少年 生活 扶助 及應 準備 文件 單位 申請
23,老闆 要求 勞動 務 契約 中 簽立 保證 人 姓名 基本資料 並附 證件 可不可以 這是 合法
145,臺北市立美術館 收藏 作品 內容
78,南深 陸閘 關閉 時 舊庄往 市區 車輛 改道 路線 為何
17,臺北市 學童 免費 窩溝 封 填 實施 地點 需要 費用
89,請問 臺北市立 天文 科學館 是否 提供 學生 參加 公共服務 機會 請問 國中生 可不可以 參加 服務 相關 報名 手續
74,申請 車 汽 機 行斜 坡道 手續 辦理
32,IADL 失能 衰弱 申請 長 服務
79,已 開闢 公園 網站 哪裡 查詢
93,為何 公辦 實施辦法 自治 規則 法律 位階 訂定
112,分析 建材 用料 設備
45,臺北市 原住民 若需 購買 修繕 房屋 臺北市政府 可有 相關 補助 措施
120,無法 進入 學區 內之額 學校 時 瞭解 學區 內改 分發 學校 可供 家長 選擇
55,員工 總 人數 達 人 以上 公司 若無 進用 身心障礙者 勞工 罰則
24,勞工 假日 工作 時 發給 當日 工資 外 是否 應 加發 一日 工資
132,不動產 經紀 業應 辦理 設立 備查
26,公共 住宅 可否 承租 後 轉租 或作 辦公室 使用
21,北北基 好玩 卡 交通 暢遊 版 內容
74,申請人 本市 人行道 設置 露天 座 時應 繳納 相關 費用 計算 方式 為何
58,碧山 貴子坑 露營 場有 熱水 洗澡
112,施工 噪音 過大該 處理
147,市府 免費 辦理 用戶 接管 時 住戶 如不 配合 接管 後果
8,若有 街友 遊民 需要 安置 處理方式
147,市府 免費 辦理 用戶 接管 時 住戶 如不 配合 接管 後果
127,出外 旅遊 避免 感染 禽流感
17,請問 老人 健康檢查 受檢 資格 為何
27,估算 足額 提撥 後 補存 專戶 差額 是否 可列 費用 扣稅
24,終止 契約 預告 時間 計算
7,臺北市 執行 能源 管理法 第八條 指定 能源 用戶 應 遵行 節約能源 規定 用戶
30,我發 現有 YouBike 騎士 不當 使用 情形 我要 通報
90,租用 藝文 推廣 處 親子 劇場
63,Voting 提案 範圍 包括 議題 成為 Voting 提案
36,申請 鑑定
124,失業 勞工 參加 職訓 可否 申請 訓練 津貼 生活 補助
142,申請 防空 避難 處所
50,戶籍 臺北市 並已 戶政事務所 辦理 印鑑 登記 不動產 所在地 位於 縣市 申請人 無法 到場 可否 臺北市 作法 選擇 免附 印鑑 證明 措施
96,補習班 退費 提出 申訴
111,申請 祭祀公業 法人 設立
66,市民 得知 各里 戶外 環境 噴藥 日期 及應 注意事項
99,郵寄 登記 資料 收件人 寫
53,會計 服務業 僱用 會計 助理 人員 具 會計師 法 規定 資格 符合 勞動基準法 施行細則 第五 十條 第二款 規定 以上 適用 勞動基準法 條之 工作者 工時 限制 為何
75,請問 身心障礙者 應到 哪裡 辦理 鑑定
71,目前 臺北市 進行 寵物 登記 費用 為何 優惠 臺北市 市民 享有 優惠價格
96,教育 基金會 免稅 申請
137,針對 民眾 反映 本市 聯營公車 過站 站 不停 案件 回 復 內容
144,營業 損失 補償 法令 依據 為何
65,市民 資源回收 物要 丟棄 查詢 各區 資源回收 集中地
10,請問 是否 相關 網站 提供 民眾 瞭解 臺北市 產經 資訊
140,木柵 垃圾 焚化 廠 戴奧辛 排放 濃度 檢測 日期 檢測 內容 相關 資訊 是否 公開
8,申請 臨時 看護 補助 資格
103,請問 臺北市政府警察局 手機 建檔 方案 登錄 建檔 需要 收費 登錄 建檔 個資 外洩 建檔 方案 對象 是否 僅限 臺北市 市民
113,搭船 碼頭 分布 位置
22,已 改名 退款 申請書 姓名 欄位 應 填寫
91,適用 法令 錯誤 計算錯誤 溢繳 稅款 申請 退稅 有無 期限 規定
1,餐飲業 可否 進駐 臺北 內湖科技園區 有無 何種 限制
97,市區 道路 使用費 計徵 時程
131,山坡地 開發 未 設置 排水系統 致 雨水 漫流 路面 問題
93,補助 案 已經 都市更新 審議 同意 補助 後續 程序
48,居家 醫療 照護 整合 計畫 健保 規定 收案 條件
104,家暴 案件 被害人 法院 未 核發 民事 保護 令前 警政 單位 主動 關懷 適時 保護 被害人 具體 作法
104,民眾 受到 家庭暴力 案件 自保
96,補習班 籌設 設立 申請
33,變更 演藝 團體 團名
40,申請人 行為 人 提出 申 復 時 學校 應 處理
141,承租人 死亡 原先 承租 攤位 是否 由其子 女 繼承 須 準備 文件
6,國民年金 付有 幾種 需向 單位 申請
77,請問 青發 處 停車場 身心障礙者 停車位 優惠 內容 為何
122,申請 補助 臺北市 幼兒園 辦理 客語 教學 實施 計畫
111,辦理 祭祀公業 神明 土地 清理
74,人行道 更新 選擇
83,續修 臺北市 志 纂修 之起 年代 為何 內容 包含 幾志
142,頂樓 因屋齡 老舊 防水 功能 喪失 導致 漏水 屋頂 加蓋 四周 柱子 牆壁 鐵棚 需不需要 申請 執照 申請
103,辨識 詐騙 電話
107,避免 數位 學生證 遺失 碰撞 造成 折損
41,持 拍賣 抵押物 或質物 裁定 稅捐稽徵 處 申請 查調 債務人 財產 所得 資料
58,請問 臺北市政府 出版 介紹 登山步道 書籍
85,房屋 陽台 外圍 加建 鋁窗 玻璃窗 課徵 房屋 稅
65,遭 環保局 拖吊 廢棄 車輛 應 查詢 領回 提起 申訴 陳情
121,公務人員 訓練 處所 開辦 自費 班期 假日 英語 工作坊 夜間 英日 韓語 班 辦理 請假
52,運動 中心 管理者
21,泡溫泉 時應 注意 事項
73,本市 市民 居住 共同 學區 入學 新生 選擇 學校 外縣市 畢業 學生 請問 應該 直接 到校 報到
111,參加 金銀 紙錢 集中 焚燒
142,想買 房子 建築 執照 用途 事務所 變更 住宅
132,外國人 購買 臺灣地區 不動產 有無 限制
26,都市設計
21,刊登 日租 套房 廣告 罰則
96,外籍人士 可否 設立 補習班 辦理
86,公共設施 侵害 要件
114,使用 道路 舉辦 臨時 活動 應於 提出申請 交通局 部分 文化局 請 自行 另洽
134,搭乘 大眾 運輸工具 抵達 臺北 花卉 批發市場 俗稱 台北 花市
50,代為 標售 所得 價金 處理 標脫 土地 權利 人 申請 發給 土地 價金 金額 計算 有無 申請 期限
16,本市 設有 藝術 班 音樂 美術 舞蹈 學校
104,家庭暴力 保護 令 種類 申請 方式
94,青年 留貸 臺北市政府 青年 留學 免息 貸款 以下 簡稱 青年 留貸 申請 申請
47,駕駛 加班 加班費 應 支給
84,違反 個人資料 保護 法會 相關 責任
65,民眾 欲 丟棄 貓沙要 處理
46,復 查 程序 不合規定 稅捐稽徵 機關 處理
66,社區 下水道 簡易 排放 許可 文件 申請
12,市政 大樓 機電 維護 停電 時程 表那裡 查詢 下載
131,道路 側溝 蓋 損壞 鬆動 遺失 反應 修復
0,得知 臺北國際藝術村 舉辦 活動 相關 訊息
31,已 代收 機構 繳納 交通 違規 罰 鍰 為何 網路 查詢 時 違規 紀錄
105,迪化 污水處理 廠 附設 休閒 運動公園 運動 設施
10,所稱 標的物 所有權 證明文件 為何
58,請問 臺北市 親 登 山 步道 相關 資訊
47,因案 停 休 職 退保 留職停薪 選擇 退保 人員 復職 同日 辦理 退休 資遣者 得否 請領 養老 給付
19,第三胎 以上 子女 證明 卡 申請
4,社會局 編報 統計 報表 是否 刊登 網站 上供 參
66,病媒 防治 業 許可 執照 應 申請
106,污水 廠 回饋 地方 經費 計算
97,既成 道路 招標 資訊
15,預算 執行
128,請問 動物園 索取 地圖
69,民政 學齡兒童 學區 認定 送達 入學 通知單
71,何謂 完成 寵物 登記 依據 哪條 法規 動物 強制性 辦理 寵物 登記 辦 現行 收費 標準 飼主 不替 犬貓 辦理 寵物 登記 罰責
112,購買 預售 屋 如有 違約 情形 辦理
21,北北基 好玩 卡 無限 暢遊 版 內容
3,發 現有 迷童 棄嬰 查無 身分 兒少 需 緊急 安置
51,避免 遭蜂 攻擊 注意事項
138,我發 現有 幼犬 貓在 同一 位置 已經 超過 天 叫聲 越來越 虛弱 看到 狗 媽媽 貓 媽媽 帶走
128,請問 動物園 附近 住宿 資訊
114,舉辦 臨時 活動 借用 本市 道路 應洽何 單位
128,請問 園內 是否 免費 無線 網路
30,車內 設有 輪椅 區 載運 坐輪椅 是否 應依 規定 繫 安全帶
111,辦理 寺廟 登記
37,交通 維持 捷運 萬 大線 第一期 工程 南區 工程處 負責 監造 工程 範圍 車站 位置
19,補助 捐助 臺北市學校 營養午餐
102,我要 投訴 里 幹事 服務態度 不佳
145,臺北市立美術館 決定 典藏 作品
88,檢舉 違法 菸酒 請領 獎勵金 範圍 為何
106,迪化 內湖 八里 污水處理 廠 參訪 內容 及時 間
2,失能 評估 時身 障者 家人 需要 在場 失能 評估 進行 需要 時間 是否 每年 需要 重新 評估
124,身分 參加 全日制 職能 培育 請領 就業 促進 津貼 實施辦法 職業訓練 生活 津貼
108,寵物 過世 處理
128,請問 動物園 全面 禁菸
47,機關 員工 專案 加班 核定 權責 為何
48,DEHP
83,臺北市立文獻館 開辦 動線 史蹟 解說 報名 是否 收取 費用
99,商店 懸掛 市招 登記 名稱 是否 需 相同
24,義務兵 請假 是否 給薪
56,目前 主要 受理 質借 物品 為何
4,廠商 詢問 財物 勞務 工程 付款 進度
80,請問 前往 內湖 教室 路線
93,同一個 單元 已有 申請 劃定 更新 單元 之後 有人 提出申請 請問 處理
38,翡翠水庫 是否 釣魚 捕 撈 魚 行駛 船筏 浮具 放生 從事 水上 活動 行為
142,想買 房子 建築 執照 用途 事務所 變更 住宅
48,病患 家中 口語 威脅 作勢 攻擊 家人 行為 拒絕 就醫 家人 安全 備受 威脅 可否 請 醫院 協助 安排 住院
106,申請 參觀 迪化 內湖 八里 污水處理 廠
131,市區 發生 積水 時 查報 電話 為何
62,農地 已有 農舍 辦理 分割 應 準備 文件
110,助 妳 好孕 每胎 萬元 生育 獎勵金 雙胞胎 領 份
55,職涯 輔導 服務 申請 申請 時應 檢附 資料
20,有人 說 吸毒 上癮
118,書 多久
70,無 張貼 改道 公告 站位 候車 卻 不到 公車
111,參加 金銀 紙錢 集中 焚燒
130,參觀 焚化 廠要 申請
25,我們家 疫區 想要 噴藥 申請
92,檢舉 獎勵金 規定 為何
73,臺北市 公 私立高中 職 低收入 戶及 中低收入 戶 學雜費 減免 補助 辦理 時間
31,吊扣 駕照 執行 之起 時間 計算
66,住家 多久 清理 一次 化糞池
107,避免 數位 學生證 遺失 碰撞 造成 折損
13,臺北市立 陽明 教養院 院生 收容教養 費 收費 標準
27,事業單位 申請 歇業 解散 退還 勞工 退休 準備金 所需 資料 為何
117,市地 重劃 相關 業務 應向 機關 詢問
147,請問 衛生紙 直接 丟入 馬桶 中
134,民眾 食用 家禽 安全 處理 原則 預防 感染 禽流感 六不三要 防治法
146,行道樹 茂盛 樹枝 已 影響 住家 請 派員 修剪 以維 住家 安全
119,攤販 公有 市場 攤商 區別
42,加班 後 未 支領 加班費 補休 規定 為何
139,開標 時 廠商 何人 參加 手續 為何
19,第三胎 以上 子女 證明 卡 申請
62,申請 建物 測量 規費 計收
116,政府 為何 推動 實價 登錄 施行
88,檢舉 違法 菸酒 請領 獎勵金 範圍 為何
29,訂定 公寓大廈 規約
57,目前 室內空氣品質 管理法 相關 法規 目前 施行 狀況 為何
97,辦理 慈善 公益活動 應 申請 使用 道路 集會 處所 同意
115,請問 內湖垃圾焚化廠 參訪 學習 可否 代為 安排 發給 環境教育 小時 證明 申請
6,臺北市 低收入 戶及 受 保護 安置 市民 喪葬 補助費 申請 應備 文件
114,未 懸掛 號牌 車輛 停放在 門前 停車 格位 尚無 嚴重 妨礙交通 為何 遭 執勤 員警 製 舉發 拖吊 移置 本市 處理 未 懸掛 號牌 堪用 車輛 之法 源 依據 為何
56,電子 類產品 可否 質借
36,車禍 後 應 釐清 雙方 責任
124,技能 競賽 相關 訊息 資料 取得
54,計程車 駕駛 人 申請 車行
84,腳踏車 是否 騎上 人行道 民眾 欲 檢舉 檢舉 流程 為何
93,整建 維護 補助 計畫 何種 情形 須依 政府採購法 辦理 更新 處 提供 協助 為何
27,雇主 委任 經理人 定義 為何
126,變更 藥商 執照 地址
75,勞動部 指定 醫療機構 院外 辦理 勞工 巡迴 健康檢查 學生 健康檢查 前 需 做 報備 事宜
139,採購 案 何時何地 開標
43,辦理 改名
21,檢舉 日租 套房 是否 提供 網址
47,本府 機關 首長 駕駛 勞基法 條所定 休假日 指 紀念日 勞動節 日及 中央 主管機關 規定 應 放假 之日 出勤 時 工資 延長 工時 工資 計給
94,青年 留貸 貸款 攻讀 專技 證照 一定 考到 證照
80,請問 前往 內湖 教室 路線
102,臺北市 區里界 說 內容 為何 取得
44,賽車場 課徵 娛樂 稅
76,尋找 室內 裝修 審查 人員
138,我家 後方 防火巷 一窩 幼犬 貓 請 牠 帶走
23,公立 就業 服務 機構 辦理 求職 登記 後 應 注意事項 就業 保險法 條 條 條
90,查詢 藝文 推廣 處 城市 舞台 當日 演出 節目 內容 相關 票務 資訊
9,年度 重陽 禮金 致送 對象
101,勞動 教育 補助 案中 門票 費用 申請 核銷 屬於 何種 補助 項目
131,雨水 下水 道人 孔蓋 損壞 產生 噪音 通報 改善
61,政府 機關 公家 單位 是否 規範 室內 溫度 達 以上 方可開 冷氣
83,地方 查閱 臺北市 文獻 史料
8,市民 生活 經濟危機 協助 對象
70,想要 搭公車 點到 點 請問 坐
30,申請 仰德大道 通行證
127,臺北市 施打 動物 狂犬病疫苗 資訊 得知 連絡 電話 為何
61,承辦 單位 遺失 已 收文 編號 公文 時 應 處理
58,碧山 貴子坑 露營 場 車子 開進去
82,環保局 申請 代 處理 垃圾 有價 物品 申請 程序 為何
11,申請 成立 社區發展 協會 資料 可至 單位 索取
89,請問 已經 登記 參加 公共服務 學生 登記 後 取消 換人
43,離婚 判決書 後 需 多久 時間 內去 辦理 離婚 登記 有無 時間 限制
27,公司 未 成立 職工福利 委員會 是否 薪資 中扣 員工福利 金
82,環保局 申請 代 處理 垃圾 有價 物品 申請 程序 為何
86,訴願 決定 種類
24,預告 工資 以何 薪資 條件 做 計算 基準 當月 實領 應領 薪資
113,無障礙計程車 隊 車輛 數 為何
23,職業訓練 就業 服務 期間 照護 補助 中 職業訓練 就業 服務 範圍 為何
105,請問 迪化 污水處理 廠 參訪 學習 可否 代為 安排 發給 環境教育 小時 證明 申請
108,臺北市 找 單位 鑑識 是否 入侵紅火蟻
141,申請 核發 公有 零售 市場 攤 鋪 位 證明書
9,老人 健保 補助 居住 國內 天數 未滿 天而 不符 資格 請問 我要 哪裡 申請 入 出國 日期 證明書
102,區公所 好 便利 櫃檯 受理 業務
62,何謂 合併 複 丈 申請 合併 複 丈 是否 需 繳納 規費
68,一櫃 多罐 有無 相關 規定 限制
6,已有 低收入 戶 身分 申請人 去世 戶籍 家庭 人員 是否 低收入 戶 資格
56,若以 機車 辦理 質借 手續 為何
23,幾人 以上 算 大量 資遣
96,臺北市教育 財團法人 設立 基金 最低標準
118,進行 線上 辦證
113,搭程 計程車 時 請 司機 開 後 車箱 放置 物品 是否 規定 付費
82,焚化 廠及 掩埋場 申請 代 處理 垃圾
23,提早 就業 獎助 津貼 申請 資格 就業 保險法 條 施行細則 條
112,建管 處 購屋 服務 包括 哪些項目 購屋 服務 電話
37,交通 維持 捷運 萬 大線 第一期 工程 南區 工程處 負責 監造 工程 範圍 車站 位置
10,得知 台北 是否 提供 實驗室 使用 資訊
127,請問 申請 生物 藥品 查驗 封存 準備 資料
118,期刊 雜誌 外借
93,管理 維護 期間 基地 維管 不善 影響
17,請問 老人 健康檢查 預約 方式 對象 為何
130,回饋 設施 請問 游泳池 場次 開放 時間 為何
5,辦理 特殊 境遇 家庭 扶助 應向 單位 提出申請
101,勞動 教育 補助 案 中行 政 人員 加班費 應 計列
72,經建 申請 農業用地 作 農業 使用 證明 申請書 需要 文件
85,申請 騎樓 用地 減免 地價稅 是不是 一棟 樓房 一位 土地 所有權 人 稅捐處 提出申請 享受 減稅 優惠
58,請問 何種 情況 應 繳納 山坡地 開發利用 回饋 金
31,罰單 繳
96,個案 國二 輟學 已 歲 取得 相關 學歷 丙級 執照 乙級 執照 是否 直接 跳級 取得 高學歷
49,購買 家電 電腦 時 包裝 保麗龍 塑膠 緩衝 材 低密度 聚乙烯 處理
113,復康巴士 各障 等級 訂車 時間 為何
39,請問 三歲 小朋友 參加 抽 公立 幼兒園 抽籤
78,河川 區域 施設 修復 建造 物 埋設 管線 施設 休閒 遊憩 設施 申請
115,申請 內湖垃圾焚化廠 垃圾 代 焚化 處理
25,游泳 業 營業 場所 應於 情況 需 報請 衛生局 備查
26,申請 臺北市 現有 巷道 廢止 改道 應 檢附 書圖 文件
39,申請 登記 公立 幼兒園 應該 文件
31,是否 可用 信用卡 臨櫃 繳納 交通 違規 罰 鍰
14,內湖 草莓 產季 開放 時間
33,街頭藝人 申請 資格 受理 時間 為何
27,單位 應 成立 職工福利 委員會
76,想要 辦理 門牌 增編 合併 應該 申請
101,勞動 教育經費 補助 申請 時應 檢附 文件
87,台北 點 兌換 成 加值 金 使用 方式 為何
110,助 妳 好孕 每胎 萬元 生育 獎勵金 單親 媽媽 未婚 媽媽 領嗎
49,低收入 戶及 中低收入 專用 垃圾袋 抵價券 金額 按戶 按人 計算
91,房屋 擔保 品 計算 價值
49,廚餘回收 資訊 查詢
12,市政 大樓 音樂節目 播放 時程 表 查詢 下載
130,回饋 設施 小朋友 兒童 身分證 辦理 入場
123,學生 悠遊卡 適用 對象
78,堤坡 認養 契約 簽訂 認養 年限 為何
2,使用 本市 失能 身心障礙 日間 照顧 中心 服務 是否 需要 體檢
63,我要 Voting 投票 成功
83,臺北市立文獻館 培訓 解說 志工
118,借閱 證 請人 代辦
34,建議 捷運車站 大廳 月臺 增設 座椅
9,長者 預防 走失 手鍊 補助 標準 為何
53,請問 行業 適用 職安法
76,哪裡 取得 室內 裝修 申請 表格
48,請問 愛滋病 慢性病 處方 箋 林中 昆 昆明 院區 領藥 方式 及時 間
142,若民眾 自行 空屋 拆除 非 違章建築 是否 申請 拆除 許可 應備 文件
92,汽車 防盜器 音響 陳情 事項 單位 協助
0,何謂 藝響 空間
13,陽明 教養院 華岡 院區 門禁 管制 通行 時間 為何
136,申請 工廠 登記 須 準備 文件
124,職訓 生活 津貼 疑問 問誰
22,欲 提起 訴訟 是否 救濟 期間 限制
6,申請 低收入 戶及 中低收入 戶 生育 補助 低收入 戶 懷孕 加成 補助
70,想要 搭公車 點到 點 請問 坐
7,何謂 白熾燈 為何 要汰換 白熾燈
48,檢查單 遺失 補 開單
119,請問 申請 攤販 營業 許可證 應具 條件
138,我家 街貓 可不可以 派人來 抓
43,胎 證明 卡至 戶政事務所 之何 科室 辦理 胎 認定 標準 為何
119,新 申請 攤販 證須 準備 資料
13,臺北市立 陽明 教養院 目前 安置 照顧 情形
100,請問 中山堂 有無 招募 志工
129,廢棄物 處理 場內 設置 回饋 設施 中 健身房 舞蹈 室 開放 時間 收費 標準
93,公辦 實施辦法 辦理 類型 哪幾種
73,高三 肄業 應該 報考 大學
18,機電 設計 請 說明 台北 捷運 路網 採用 何種 通訊 傳輸 系統
34,違反 臺北捷運 系統 旅客 須知 效果 為何
127,臺北市 高 病原 性 禽流感
56,每人 質 額度 規定 為何
108,申辦 特定 寵物 業 許可證 負責 人和 專任 人員 可否 同一 人
24,私立學校 私立 幼稚園 托兒 私立 相關 教育 事業 適用 勞基法
103,民眾 拾得 遺失物 交存 派出所 後續 相關 作業 程序
134,搭乘 大眾 運輸工具 抵達 臺北 花卉 批發市場 俗稱 台北 花市
67,勞動 場所 發生 職業災害 事業單位 通報 要件 為何 通報
131,纜線 暫掛 雨水 下水道 問題 查詢
84,民眾 購物 業務人員 諮詢 產品 問題 經遞 渠 名片 方便 客人 洽詢 業務 卻 招至 客人 網路 公佈 渠 名字 且涉 誹謗 情事 問 處置
129,事業廢棄物 進 廢棄物 處理場 處理 申請
134,臺北 花木 批發市場 南區 盆花 花市 是否 開放 攤位 予民眾 申請
38,蕨色 翡翠 園區 有何 特色
49,詢問 資源回收 日期 回收 種類
70,市府 專車 市府 員工 民眾 皆 付費 搭乘
83,古物 相關 問題 洽詢 單位 提出申請
59,職工 福利金 儲存 金融機構 有無 限制
57,室內空氣品質 管理法 管制 對象 為何 管制 類別 為何
64,僑民 服役 次 以前 出生 僑民 役男 國內 居留 逾 月 計算
124,是否 申請 訓練 津貼 生活 補助
137,針對 民眾 反映 本市 聯營公車 公車專用道 滯留 載客 案件 回 復 內容
84,弱勢團體 名義 販售 商品 針對 學生 族群 遊客 強迫 推銷 惡劣 手法 迫使 民眾 購買 商品 此類 行為 觸犯 法律
42,首長 駕駛 是否 適用 勞動基準法 條之 規定
82,過期 食品 鹽 調味料 油品 回收
133,臺北 公眾 區 免費 無線 上網 服務 時間 服務 區域 為何
82,事業廢棄物 清理 計畫 書 填報 提送 審查
47,退休 職 公 政 務 人員 亡故 後 其原 儲存 一次 退休 職 金及 公保 養老 給付 優惠存款 得否 續存 規定
137,針對 民眾 反映 本市 聯營公車 車內 空調 不佳 案件 回 復 內容
25,茲卡病毒 感染 症
74,設置 人行道 座椅 相關 規定
81,製造業 招募 外勞 所需 文件 為何
104,民眾 受到 家庭暴力 案件 自保
83,臺北市立文獻館 開辦 定點 史蹟 解說 動線 史蹟 解說 路線 定點 史蹟 解說 動線 史蹟 解說 時間 規定
86,協議 應 處理
84,請問 貴局 檢舉 員警 風紀 申訴電話
51,本市 禁止 水域 遊憩 活動 範圍 時間 行為
49,哪裡 查詢 臺北市 資源回收 商業 連絡 電話 地址
116,公告 土地 現值 產生
43,新式 戶口名簿 啟用 舊式 戶口名簿 使用
7,請問 檢驗 維護 業 登記 執照 有效期限 多久
7,節能 標章 產品 購買
24,何謂 公傷 假 公傷 假 給薪 事業單位 可否 勞工 請 公傷 假 超過 一定 期間 年終 考核 予以 列為 丙等
19,校園 開放 臺北市學校 運動 設施 借用
75,護理 之家 申請 氣切 補助費 需 準備 文件
89,請問 已經 登記 參加 公共服務 學生 登記 後 取消 換人
94,合格 教師 證書 相關 申請 表格 資料 網路上 應該 查詢
109,我家 位於 兩種 液化 潛勢 邊界 應該 判別
139,押 標金 履約保證 金 差額 保證金 保固 保證金 繳納 方式 為何
103,目前 中古 手機 商行 手邊 電腦 請問 線上 幫 立即 查詢 是否 失竊 被盜 搶 遺失 手機
107,數位 學生證 掛失 手續費 負擔
27,全體 國籍 勞工 若均 選擇 新制 結清 適用 新制 前 保留 工作 年資 後 外籍勞工 能否 依據 勞工 退休 準備金 提撥 管理 辦法 條 規定 領回 勞工 退休 準備 賸 餘款
54,自行車 遭 違規 拖吊 查詢 領車
104,家庭暴力 保護 令 種類 申請 方式
60,機電 設施 裝設 捷運 月台 門有何 優點
0,請問 搭乘 大眾 交通工具 臺北國際藝術村
29,請問 社區 頂樓 住戶 通往 頂樓 樓梯間 違規 加裝 鐵門 影響 逃生 安全 處置
122,客家 會館 地址 開放 時間
130,參觀 焚化 廠要 申請
58,請問 和興 炭坑 前往
38,翡翠樹蛙 命名
95,直飲水 標準
11,申請 成立 社區發展 協會 流程
112,查詢 工地 道路 室內 裝修 施工 時間 法規
80,請問 前往 內湖 教室 路線
108,進入 關渡 北投石自然保留區 是否 申請
28,網路 建築 線 指示 申請 案件 成果 領取
